_id,ALARM_DATE,CONT_DATE,GIS_ACRES,Shape__Area,Shape__Length,YEAR_,STATE,FIRE_NAME,INC_NUM
132,16/06/2023,16/6/2023,2.214254,13574.5,469.6282979,2023,CA,NEAL,9168
133,28/06/2023,28/6/2023,70.79186,431352.0039,3756.05652,2023,CA,BOULDER,9859
134,16/07/2023,16/7/2023,2.151939,13226.49609,629.6460223,2023,CA,JARDINE,10924
135,16/12/2023,16/12/2023,1.008626,6185.5,321.1371467,2023,CA,FRANKLIN,19633
136,25/07/2023,25/7/2023,0.1144218,703,158.4008366,2023,CA,OAK,11433
137,30/07/2023,3/8/2023,114.7964,701703.5039,4835.690479,2023,CA,SHELL,11767
138,16/08/2023,16/8/2023,5.272589,32346.00391,802.6412733,2023,CA,WILLOW,12736
139,16/08/2023,16/8/2023,0.8171355,4988,328.3602865,2023,CA,CATTLE,12735
140,18/08/2023,18/8/2023,5.66248,34542,744.2854631,2023,CA,TOPAZ,12836
141,26/08/2023,26/8/2023,1.682815,10172,386.1112356,2023,CA,WINEMAN,13297
142,16/12/2023,16/12/2023,3.066564,18742.50391,907.4344349,2023,CA,PANZA,19637
143,27/08/2023,27/8/2023,2.421318,14898.50391,648.9686714,2023,CA,CREST,13383
144,31/08/2023,31/8/2023,0.7515653,4612,318.676944,2023,CA,BITTER,13618
145,10/09/2023,10/9/2023,8.690822,52689.99609,985.4806931,2023,CA,TOWNSITE,14150
146,16/12/2023,16/12/2023,13.34245,81375.99219,1892.446627,2023,CA,58 CARRIZO,19643
147,10/09/2023,10/9/2023,1.702128,10438.49609,456.5777772,2023,CA,GENESEO,14116
148,13/09/2023,13/9/2023,1.899265,11630,545.5958314,2023,CA,MOSS,14291
149,16/09/2023,16/9/2023,16.14059,98402.02344,1327.044614,2023,CA,RANGE,14489
150,16/06/2023,16/6/2023,97.11945,646290.5742,4809.994658,2023,CA,SNELL,11182
151,20/10/2023,20/10/2023,0.14,1003.761719,123.1301504,2023,CA,AIRPORT,12794
152,20/06/2023,21/6/2023,12.2,70128.07813,1661.040439,2023,CA,WILDCAT 2,14677
153,17/08/2023,19/8/2023,466.5,2670139.785,8337.219729,2023,CA,COYOTE,18943
154,18/07/2023,18/7/2023,3.5,20184.62891,649.5363835,2023,CA,COUSER 2,16719
155,20/06/2023,21/6/2023,37.4,214332.0781,3972.248471,2023,CA,BLACKWOOD,14650
156,14/09/2023,14/9/2023,2.58,19125,804.2190128,2023,CA,RUBY,10259
157,12/07/2023,12/7/2023,28.96,202759.4727,2702.150511,2023,CA,DURA,7498
158,21/06/2023,22/6/2023,61.07,346823.5234,3925.771368,2023,CA,BORDER 14,14727
159,07/10/2023,7/10/2023,10.51,59312.51172,1135.858689,2023,CA,BORDER 30,22649
160,20/06/2023,20/6/2023,17.95,1123003.902,7290.325809,2023,CA,BORDER 13,14586
161,29/07/2023,29/7/2023,11.02161,71534.49609,1156.623555,2023,CA,GREY,10014
162,06/04/2023,6/4/2023,54.54718,350211.7852,2757.578935,2023,CA,MAIN,4512
163,08/08/2023,8/8/2023,12.89246,92530.39844,1441.227204,2023,CA,PECWAN,7821
164,03/07/2023,3/7/2023,0.06657419,414.765625,76.78781006,2023,CA,PARK,383
165,10/08/2023,10/8/2023,138.2095,867423.918,6351.43918,2023,CA,ROBIN,589
166,20/05/2023,21/5/2023,37.28043,217341.4961,2617.172917,2023,CA,JOHNSON,73504
167,02/08/2023,3/8/2023,14.43536,575218.6563,5876.394317,2023,CA,ALMOND,113007
168,23/08/2023,24/8/2023,8.132599,47442.86719,1386.479847,2023,CA,HOMESTEAD,124491
169,06/08/2023,8/8/2023,1.601149,9430.558594,498.0321237,2023,CA,BROADWAY,11111
170,15/05/2023,17/5/2023,127,731642.0352,5497.28008,2023,CA,66,70760
171,30/08/2023,30/8/2023,1.98,12562.90234,905.0682928,2023,CA,VEGA,5081
172,01/06/2023,2/6/2023,108.165,677867.4844,5071.888375,2023,CA,ORANGE,10650
173,09/06/2023,10/6/2023,20.1026,124507.4766,1543.886319,2023,CA,RODEO,11246
174,12/08/2023,13/8/2023,19.1282,120709.5039,1950.548028,2023,CA,STRIKE,16474
175,08/06/2023,8/6/2023,25.7406,162906.5195,2143.026825,2023,CA,GEORGE,11164
176,27/06/2023,27/6/2023,23.8874,147926.9961,2307.82863,2023,CA,CRANE,12588
177,14/07/2023,15/7/2023,14.3992,90620.97266,1396.624223,2023,CA,PECK,14123
178,07/07/2023,7/7/2023,30.3938,192113.9766,1855.005985,2023,CA,BRIDGE,13525
179,30/05/2023,30/5/2023,127.146,806019.4688,4915.526109,2023,CA,PISTOL,10478
180,23/07/2023,23/7/2023,16.7198,106055.9609,1484.096199,2023,CA,WINCHELL,14864
181,18/07/2023,19/7/2023,11.1383,66810,1221.562312,2023,CA,JUNIPER,14475
182,07/09/2023,7/9/2023,60.4371,377722.9766,2728.967091,2023,CA,POWER,18518
183,25/07/2023,27/7/2023,27.6025,171684.0273,2019.182654,2023,CA,LONG,15037
184,25/07/2023,27/7/2023,57.49,343984.6484,3500.446814,2023,CA,VICTOR,248830
185,23/11/2023,27/11/2023,39.687,227598.1172,3033.238391,2023,CA,SAGE,3113
186,20/06/2023,20/6/2023,26.82465,172802.5586,3060.632253,2023,CA,WHIPPLE,6336
187,04/07/2023,4/7/2023,3.312726,22628.23438,819.9615095,2023,CA,RIVER,552
188,30/05/2023,30/5/2023,2.545945,15670.00391,2808.000994,2023,CA,CORCORAN,730
189,26/04/2023,11/5/2023,226.9751,1348920.48,5930.428188,2023,CA,NOB,6515
190,11/08/2023,13/8/2023,96.37685,583837.1289,4259.823555,2023,CA,RINCONADA,2238
191,19/05/2023,20/5/2023,48.99358,296880.8359,2127.610874,2023,CA,GIFFORD,1190
192,28/08/2023,31/8/2023,11.8399,84188.16406,1504.035864,2023,CA,CARAWAY,1104
193,16/06/2023,18/7/2023,1180.618,7716500.457,20201.04798,2023,CA,BONE,896
194,02/08/2023,20/8/2023,76.19935,458969.375,5270.885272,2023,CA,TECUYA,2100
195,10/07/2023,11/7/2023,25.90652,155243.7656,1782.72359,2023,CA,VISTA,2138
196,11/09/2023,16/11/2023,836.8499,5496972.059,16129.79513,2023,CA,PEAK,1971
197,30/09/2023,30/10/2023,2857.988,18038140.2,34420.24696,2023,CA,RABBIT,2146
198,26/08/2023,26/8/2023,12.34517,88649.96094,1544.82549,2023,CA,SPRING,733
199,19/09/2023,23/9/2023,20.04021,146670.1484,2260.138454,2023,CA,RIM,938
