weatherstn,ALARM_DATE,obs,obs_value,Fire station name,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,YEAR_,fire_occurred
US1CAHM0029,2014-08-01,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,10.14866,70855.01452,945.4148612,2014.0,1
US1CAHM0029,2014-08-01,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,21.19531,152219.4414,2670.774088,2014.0,1
US1CAHM0029,2014-08-01,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,10.14866,70855.01452,945.4148612,2014.0,1
US1CAHM0029,2014-08-01,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,21.19531,152219.4414,2670.774088,2014.0,1
US1CAHM0029,2014-09-05,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,24.68149,173041.3164,2063.325711,2014.0,1
US1CAHM0029,2014-09-05,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,24.68149,173041.3164,2063.325711,2014.0,1
US1CAHM0029,2015-06-09,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,26.9475,192485.3828,1644.412735,2015.0,1
US1CAHM0029,2015-06-09,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,26.9475,192485.3828,1644.412735,2015.0,1
US1CAHM0029,2015-07-25,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,159.3774,1145889.824,12818.04503,2015.0,1
US1CAHM0029,2015-07-28,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,15.85715,109743.2383,1850.055085,2015.0,1
US1CAHM0029,2015-07-30,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,1773.247,12343897.11,19537.7185,2015.0,1
US1CAHM0029,2015-07-30,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,202.7018,1409107.871,6993.328623,2015.0,1
US1CAHM0029,2015-07-30,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,283.831,1974786.797,7082.753023,2015.0,1
US1CAHM0029,2015-07-30,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,787.353,5470954.957,12196.08067,2015.0,1
US1CAHM0029,2015-07-30,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,1403.444,9742917.191,16924.28871,2015.0,1
US1CAHM0029,2015-07-30,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,147.2519,1022303.43,4218.601473,2015.0,1
US1CAHM0029,2015-07-30,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,283.2199,1968730.211,7774.372775,2015.0,1
US1CAHM0029,2015-07-25,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,159.3774,1145889.824,12818.04503,2015.0,1
US1CAHM0029,2015-07-28,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,15.85715,109743.2383,1850.055085,2015.0,1
US1CAHM0029,2015-07-30,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,1773.247,12343897.11,19537.7185,2015.0,1
US1CAHM0029,2015-07-30,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,202.7018,1409107.871,6993.328623,2015.0,1
US1CAHM0029,2015-07-30,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,283.831,1974786.797,7082.753023,2015.0,1
US1CAHM0029,2015-07-30,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,787.353,5470954.957,12196.08067,2015.0,1
US1CAHM0029,2015-07-30,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,1403.444,9742917.191,16924.28871,2015.0,1
US1CAHM0029,2015-07-30,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,147.2519,1022303.43,4218.601473,2015.0,1
US1CAHM0029,2015-07-30,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,283.2199,1968730.211,7774.372775,2015.0,1
US1CAHM0029,2015-08-18,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,145.9043,1010851.988,7236.400232,2015.0,1
US1CAHM0029,2015-08-18,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,145.9043,1010851.988,7236.400232,2015.0,1
US1CAHM0029,2016-08-03,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,22.94097,164603.1641,1979.533683,2016.0,1
US1CAHM0029,2016-08-03,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,7.84517,54552.30078,1215.205406,2016.0,1
US1CAHM0029,2016-08-13,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,20.42371,145258.8086,1682.510577,2016.0,1
US1CAHM0029,2016-08-14,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,24.02523,168134.8906,3024.842177,2016.0,1
US1CAHM0029,2016-08-22,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,607.4457,4357405.652,17441.36745,2016.0,1
US1CAHM0029,2016-08-03,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,22.94097,164603.1641,1979.533683,2016.0,1
US1CAHM0029,2016-08-03,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,7.84517,54552.30078,1215.205406,2016.0,1
US1CAHM0029,2016-08-13,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,20.42371,145258.8086,1682.510577,2016.0,1
US1CAHM0029,2016-08-14,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,24.02523,168134.8906,3024.842177,2016.0,1
US1CAHM0029,2016-08-22,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,607.4457,4357405.652,17441.36745,2016.0,1
US1CAHM0029,2017-03-08,PRCP,30,Humboldt - Del Norte CAL FIRE,HUU,33.345,232159.9766,2461.048132,2017.0,1
US1CAHM0029,2017-03-08,PRCP,30,Humboldt - Del Norte CAL FIRE,HUU,53.36273,369685.2656,4117.231962,2017.0,1
US1CAHM0029,2017-06-26,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,11.31573,82812.61719,1842.401019,2017.0,1
US1CAHM0029,2017-06-26,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,11.31573,82812.61719,1842.401019,2017.0,1
US1CAHM0029,2017-08-10,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,10.70095,75368.28906,1049.584299,2017.0,1
US1CAHM0029,2017-08-10,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,12.3151,87285.63281,1797.121895,2017.0,1
US1CAHM0029,2017-08-31,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,33.77041,233388.7383,2418.984038,2017.0,1
US1CAHM0029,2017-08-10,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,10.70095,75368.28906,1049.584299,2017.0,1
US1CAHM0029,2017-08-10,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,12.3151,87285.63281,1797.121895,2017.0,1
US1CAHM0029,2017-08-31,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,33.77041,233388.7383,2418.984038,2017.0,1
US1CAHM0029,2018-02-11,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,13.00193,90452.02344,2727.915159,2018.0,1
US1CAHM0029,2018-02-11,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,13.00193,90452.02344,2727.915159,2018.0,1
