_id,ALARM_DATE,CONT_DATE,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,YEAR_
250,15/05/2023,15/05/2023,CND,121.1558,737669.1055,3572.014098,2023
251,18/07/2023,21/07/2023,CRD,62.32319,357554.9922,2540.432385,2023
252,11/03/2023,12/03/2023,CRD,15.25318,87511.72656,1408.504739,2023
253,20/04/2023,22/04/2023,CRD,19.89741,114327.4648,2617.939535,2023
254,17/08/2023,18/08/2023,NOD,27.64029,192656.5742,2375.264657,2023
255,31/07/2023,04/08/2023,CDD,22.55552,131573.4883,1749.770715,2023
256,27/10/2023,28/10/2023,CDD,90.48016,532339.4375,5119.0451,2023
257,09/08/2023,11/08/2023,SDU,183.9228,1060934.363,6973.034253,2023
258,16/08/2023,18/08/2023,SKU,14.55784,106294.4883,1706.836858,2023
259,15/08/2023,28/08/2023,SKU,792.9697,5681507.43,16992.59133,2023
260,15/08/2023,28/08/2023,SKU,29.74612,212868.7422,2876.961818,2023
261,15/08/2023,02/09/2023,HUU,1055.172,7430767.449,19672.84572,2023
262,10/08/2023,10/08/2023,TUU,300.792,1889136.363,8767.679546,2023
263,15/08/2023,14/11/2023,SRF,89326.05,653153709.9,310391.9449,2023
264,16/08/2023,02/11/2023,SRF,2836.39,19947931.85,68191.92947,2023
265,15/08/2023,23/08/2023,KNF,81.23029,590216.5859,4621.795022,2023
266,15/08/2023,04/09/2023,KNF,1935.952,14050384.42,23549.83663,2023
267,15/08/2023,07/09/2023,KNF,200.2064,1448786.512,8863.538671,2023
268,18/08/2023,24/08/2023,KNF,294.8512,2152075.215,6968.732878,2023
269,21/08/2023,25/09/2023,SRF,1728.136,12457944.09,18526.71597,2023
270,17/08/2023,25/10/2023,SRF,12152.45,87295981.71,191343.962,2023
271,17/08/2023,28/09/2023,SRF,95.91678,692201.1914,7400.785106,2023
272,19/08/2023,02/09/2023,SRF,20.01698,144629.1992,1822.039352,2023
273,15/08/2023,14/11/2023,SRF,599.3448,4357972.82,9443.720863,2023
274,15/08/2023,23/10/2023,KNF,13875.25,100555093.6,92115.67863,2023
275,15/08/2023,31/08/2023,KNF,71.79534,519821.1875,10073.96726,2023
276,16/08/2023,28/09/2023,KNF,7850.58,57036758.54,56259.29605,2023
277,15/08/2023,03/10/2023,SRF,1997.206,14446716.52,40356.36384,2023
278,15/08/2023,14/11/2023,SRF,2677.779,19514022.41,36615.32112,2023
279,15/08/2023,14/11/2023,SRF,1090.281,7980142.227,16299.19483,2023
280,15/08/2023,14/11/2023,SRF,550.0559,4026102.227,16071.36531,2023
281,15/08/2023,14/11/2023,SRF,378.4197,2754376.875,14197.46923,2023
282,15/08/2023,15/09/2023,SRF,1684.73,11987004.55,19642.4491,2023
283,15/08/2023,25/10/2023,SRF,34188.45,246667727.9,615710.5583,2023
284,15/08/2023,07/09/2023,KNF,6953.805,50631460.93,90233.50985,2023
285,16/02/2022,26/02/2022,BDU,4140.06,26508134.59,85420.83522,2022
286,24/05/2022,24/05/2022,BTU,29.84678,202389.0859,2631.420753,2022
287,13/06/2022,19/06/2022,TGU,589.8671,4071594.289,13299.52201,2022
288,03/06/2022,03/06/2022,CZU,28.68488,185603.0039,2034.754555,2022
289,28/06/2022,29/06/2022,TGU,309.4793,2120494.129,7454.125266,2022
290,18/07/2022,18/07/2022,BTU,5.888545,40099.00391,1114.945675,2022
291,22/06/2022,22/06/2022,BTU,65.67123,445400.7617,4658.834524,2022
292,30/06/2022,30/06/2022,BTU,371.4677,2530611.766,11361.9184,2022
293,09/07/2022,09/07/2022,BTU,56.33854,382113.2891,3266.07796,2022
294,30/06/2022,30/06/2022,BTU,34.40428,234031.7852,2578.061874,2022
295,04/07/2022,04/07/2022,BTU,30.50697,207210.3867,2297.12397,2022
296,08/05/2022,08/05/2022,BTU,9.837949,66774.43359,1418.314799,2022
297,23/06/2022,23/06/2022,BTU,9.554518,65135.02734,1850.448485,2022
298,13/06/2022,13/06/2022,SCU,16.40938,105358.9063,2236.602945,2022
299,29/07/2022,31/07/2022,BDU,28.10259,167094.9336,3772.209162,2022
300,24/05/2022,24/05/2022,SCU,12.17408,79041.08594,1564.277814,2022
301,23/06/2022,23/06/2022,SCU,50.373,325599,2557.140821,2022
302,18/07/2022,18/07/2022,SCU,14.51391,94507.52344,1774.282656,2022
303,20/05/2022,20/05/2022,SCU,28.56241,186536.043,2205.787831,2022
304,23/05/2022,23/05/2022,SCU,91.53281,593837.0391,3718.124846,2022
305,18/05/2022,18/05/2022,SCU,65.37904,423776.0195,3956.833327,2022
306,21/06/2022,21/06/2022,SCU,13.50571,87549.99609,1587.230254,2022
307,23/06/2022,23/06/2022,SCU,551.7821,3567673.48,9866.887445,2022
308,24/06/2022,24/06/2022,SCU,84.79446,553173.5078,5517.331407,2022
309,19/07/2022,19/07/2022,SCU,173.7565,1125771.41,5923.650081,2022
310,29/07/2022,29/07/2022,SCU,38.44807,249253.9688,3222.695362,2022
311,15/05/2022,15/05/2022,SCU,131.9128,854787.0156,7418.304907,2022
312,23/06/2022,23/06/2022,SCU,120.4983,787655.0273,5501.801024,2022
313,03/08/2022,03/08/2022,SCU,19.18303,124655.8633,2921.786172,2022
314,08/08/2022,09/08/2022,LMU,11.36938,80933.24609,2120.065317,2022
315,16/07/2022,18/07/2022,LMU,129.1635,927202.0742,8290.924669,2022
316,15/08/2022,15/08/2022,SCU,58.31763,377637.9453,4374.40493,2022
317,09/08/2022,09/08/2022,BTU,6.635188,45155.35938,888.2592531,2022
318,06/06/2022,09/06/2022,BDU,96.88597,576094.7461,3879.872197,2022
319,04/08/2022,04/08/2022,BTU,15.77412,107102.1133,1596.770634,2022
320,23/06/2022,23/06/2022,BTU,16.90405,114914.6133,1387.755933,2022
321,13/06/2022,13/06/2022,BTU,14.32328,97706.05078,1653.99934,2022
322,07/09/2022,13/09/2022,MMU,818.4309,5231771.578,19405.30326,2022
323,22/07/2022,10/08/2022,MMU,18957.5,122238621.2,119368.1831,2022
324,23/06/2022,24/06/2022,MMU,344.1595,2192217.844,10630.91059,2022
325,21/06/2022,22/06/2022,CZU,20.54839,132200.9922,2399.998391,2022
326,18/07/2022,23/07/2022,MMU,396.7744,2554645.453,15351.48625,2022
327,04/09/2022,05/09/2022,HUU,17.09855,118595.9805,1704.679967,2022
328,29/08/2022,04/09/2022,HUU,28.42003,204958.1563,2548.34874,2022
329,29/08/2022,04/09/2022,HUU,26.31805,189830.9336,2197.942426,2022
330,09/09/2022,22/09/2022,TGU,159.9855,1118952.523,6372.68329,2022
331,16/07/2022,23/07/2022,TGU,66.32885,458162.7227,4725.083161,2022
332,26/09/2022,26/09/2022,CZU,14.82357,94697.49609,1702.789437,2022
333,06/09/2022,06/09/2022,SCU,40.30602,263157.0547,2493.864244,2022
334,05/09/2022,05/09/2022,SCU,50.12971,327300.6328,4258.303123,2022
335,18/05/2022,18/05/2022,BTU,17.2802,117280.0078,1511.598992,2022
336,10/09/2022,10/09/2022,BTU,33.07443,225256.7969,2644.58777,2022
337,23/10/2022,24/10/2022,BDU,49.56956,318312.8359,2329.832843,2022
338,06/06/2022,06/06/2022,AEU,28.99773,190812.3828,2156.19923,2022
339,31/05/2022,31/05/2022,AEU,26.74845,177734.0313,1948.665299,2022
