US1CACL0001,20160105,PRCP,231,,,N,700.0
US1CACL0001,20160107,PRCP,56,,,N,700.0
US1CACL0001,20160109,PRCP,81,,,N,700.0
US1CACL0001,20160111,PRCP,18,,,N,700.0
US1CACL0001,20160112,PRCP,3,,,N,700.0
US1CACL0001,20160113,PRCP,84,,,N,700.0
US1CACL0001,20160114,PRCP,5,,,N,700.0
US1CACL0001,20160115,PRCP,135,,,N,700.0
US1CACL0001,20160117,PRCP,41,,,N,700.0
US1CACL0001,20160118,PRCP,122,,,N,700.0
US1CACL0001,20160119,PRCP,86,,,N,700.0
US1CACL0001,20160120,PRCP,132,,,N,700.0
US1CACL0001,20160122,PRCP,23,,,N,700.0
US1CACL0001,20160123,PRCP,48,,,N,700.0
US1CACL0001,20160125,PRCP,0,,,N,700.0
US1CACL0001,20160126,PRCP,0,,,N,700.0
US1CACL0001,20160129,PRCP,23,,,N,700.0
US1CACL0001,20160101,SNOW,0,,,N,700.0
US1CACL0001,20160125,SNOW,0,,,N,700.0
US1CACL0001,20160126,SNOW,0,,,N,700.0
US1CACL0001,20160209,PRCP,0,,,N,700.0
US1CACL0001,20160218,PRCP,84,,,N,700.0
US1CACL0001,20160223,PRCP,0,,,N,700.0
US1CACL0001,20160209,SNOW,0,,,N,700.0
US1CACL0001,20160223,SNOW,0,,,N,700.0
US1CACL0001,20160305,PRCP,56,,,N,700.0
US1CACL0001,20160306,PRCP,183,,,N,700.0
US1CACL0001,20160307,PRCP,234,,,N,700.0
US1CACL0001,20160310,PRCP,28,,,N,700.0
US1CACL0001,20160312,PRCP,64,,,N,700.0
US1CACL0001,20160321,PRCP,33,,,N,700.0
US1CACL0001,20160410,PRCP,76,,,N,700.0
US1CACL0001,20160506,PRCP,89,,,N,700.0
US1CACL0001,20160507,PRCP,10,,,N,700.0
US1CACL0001,20160509,PRCP,46,,,N,700.0
US1CACL0001,20160510,PRCP,0,,,N,700.0
US1CACL0001,20160521,PRCP,10,,,N,700.0
US1CACL0001,20160510,SNOW,0,,,N,700.0
US1CACL0001,20161002,PRCP,0,,,N,800.0
US1CACL0001,20161014,PRCP,51,,,N,700.0
US1CACL0001,20161016,PRCP,127,,,N,700.0
US1CACL0001,20161022,PRCP,0,,,N,700.0
US1CACL0001,20161025,PRCP,295,,,N,700.0
US1CACL0001,20161026,PRCP,46,,,N,700.0
US1CACL0001,20161028,PRCP,46,,,N,700.0
US1CACL0001,20161002,SNOW,0,,,N,800.0
US1CACL0001,20161022,SNOW,0,,,N,700.0
US1CACL0001,20161102,PRCP,86,,,N,700.0
US1CACL0001,20161104,PRCP,0,,,N,700.0
US1CACL0001,20161106,PRCP,0,,,N,700.0
US1CACL0001,20161109,PRCP,0,,,N,700.0
US1CACL0001,20161110,PRCP,0,,,N,700.0
US1CACL0001,20161118,PRCP,0,,,N,700.0
US1CACL0001,20161119,PRCP,224,,,N,700.0
US1CACL0001,20161120,PRCP,168,,,N,700.0
US1CACL0001,20161122,PRCP,51,,,N,700.0
US1CACL0001,20161126,PRCP,53,,,N,700.0
US1CACL0001,20161128,PRCP,28,,,N,700.0
US1CACL0001,20161104,SNOW,0,,,N,700.0
US1CACL0001,20161106,SNOW,0,,,N,700.0
US1CACL0001,20161109,SNOW,0,,,N,700.0
US1CACL0001,20161110,SNOW,0,,,N,700.0
US1CACL0001,20161118,SNOW,0,,,N,700.0
US1CACL0001,20161205,PRCP,0,,,N,700.0
US1CACL0001,20161208,PRCP,122,,,N,700.0
US1CACL0001,20161209,PRCP,30,,,N,700.0
US1CACL0001,20161214,PRCP,79,,,N,700.0
US1CACL0001,20161215,PRCP,10,,,N,700.0
US1CACL0001,20161223,PRCP,89,,,N,700.0
US1CACL0001,20161205,SNOW,0,,,N,700.0
US1CACL0001,20170104,PRCP,300,,,N,800.0
US1CACL0001,20170107,PRCP,170,,,N,700.0
US1CACL0001,20170108,PRCP,351,,,N,700.0
US1CACL0001,20170110,PRCP,36,,,N,700.0
US1CACL0001,20170111,PRCP,168,,,N,700.0
US1CACL0001,20170117,PRCP,0,,,N,700.0
US1CACL0001,20170122,PRCP,216,,,N,700.0
US1CACL0001,20170117,SNOW,0,,,N,700.0
US1CACL0001,20170202,PRCP,64,,,N,700.0
US1CACL0001,20170203,PRCP,234,,,N,700.0
US1CACL0001,20170205,PRCP,0,,,N,700.0
US1CACL0001,20170206,PRCP,51,,,N,700.0
US1CACL0001,20170208,PRCP,58,,,N,700.0
US1CACL0001,20170218,PRCP,970,,,N,700.0
US1CACL0001,20170205,SNOW,0,,,N,700.0
US1CACL0001,20170305,PRCP,64,,,N,700.0
US1CACL0001,20170321,PRCP,147,,,N,700.0
US1CACL0001,20170326,PRCP,97,,,N,900.0
US1CACL0001,20170403,PRCP,0,,,N,700.0
US1CACL0001,20170407,PRCP,241,,,N,700.0
US1CACL0001,20170411,PRCP,30,,,N,700.0
US1CACL0001,20170419,PRCP,76,,,N,700.0
US1CACL0001,20170424,PRCP,0,,,N,700.0
US1CACL0001,20170425,PRCP,8,,,N,700.0
US1CACL0001,20170403,SNOW,0,,,N,700.0
US1CACL0001,20170424,SNOW,0,,,N,700.0
US1CACL0001,20170502,PRCP,0,,,N,700.0
US1CACL0001,20170504,PRCP,0,,,N,700.0
US1CACL0001,20170502,SNOW,0,,,N,700.0
US1CACL0001,20170504,SNOW,0,,,N,700.0
US1CACL0001,20171110,PRCP,157,,,N,700.0
US1CACL0001,20171115,PRCP,10,,,N,700.0
US1CACL0001,20171126,PRCP,64,,,N,700.0
US1CACL0001,20171128,PRCP,0,,,N,700.0
US1CACL0001,20171129,PRCP,0,,,N,700.0
US1CACL0001,20171128,SNOW,0,,,N,700.0
US1CACL0001,20171129,SNOW,0,,,N,700.0
US1CACL0001,20180104,PRCP,36,,,N,700.0
US1CACL0001,20180106,PRCP,18,,,N,700.0
US1CACL0001,20180108,PRCP,86,,,N,700.0
US1CACL0001,20180109,PRCP,404,,,N,700.0
US1CACL0001,20180110,PRCP,23,,,N,700.0
US1CACL0001,20180111,PRCP,0,,,N,700.0
US1CACL0001,20180113,PRCP,23,,,N,700.0
US1CACL0001,20180116,PRCP,46,,,N,700.0
US1CACL0001,20180122,PRCP,18,,,N,700.0
US1CACL0001,20180125,PRCP,46,,,N,700.0
US1CACL0001,20180111,SNOW,0,,,N,700.0
US1CACL0001,20180301,PRCP,86,,,N,700.0
US1CACL0001,20180302,PRCP,15,,,N,700.0
US1CACL0001,20180313,PRCP,76,,,N,700.0
US1CACL0001,20180321,PRCP,145,,,N,700.0
US1CACL0001,20180406,PRCP,213,,,N,700.0
US1CACL0001,20180418,PRCP,86,,,N,700.0
US1CACL0001,20181002,PRCP,36,,,N,700.0
US1CACL0001,20181121,PRCP,23,,,N,700.0
US1CACL0001,20181122,PRCP,99,,,N,700.0
US1CACL0001,20181123,PRCP,46,,,N,700.0
US1CACL0001,20181124,PRCP,15,,,N,700.0
US1CACL0001,20181127,PRCP,0,,,N,700.0
US1CACL0001,20181128,PRCP,43,,,N,700.0
US1CACL0001,20181129,PRCP,178,,,N,700.0
US1CACL0001,20181130,PRCP,208,,,N,700.0
US1CACL0001,20181127,SNOW,0,,,N,700.0
