USC00047950,19001025,TMAX,189,Unnamed: 4,Unnamed: 5,6,Unnamed: 7
USC00047950,19010508,PRCP,0,P,,6,
USC00047950,19010509,PRCP,8,,,6,
USC00047950,19010510,PRCP,0,P,,6,
USC00047950,19010511,PRCP,0,P,,6,
USC00047950,19010512,PRCP,0,P,,6,
USC00047950,19010513,PRCP,0,P,,6,
USC00047950,19010514,PRCP,0,P,,6,
USC00047950,19010515,PRCP,0,P,,6,
USC00047950,19010516,PRCP,0,P,,6,
USC00047950,19010517,PRCP,0,P,,6,
USC00047950,19010518,PRCP,0,P,,6,
USC00047950,19010519,PRCP,0,P,,6,
USC00047950,19010520,PRCP,0,P,,6,
USC00047950,19010521,PRCP,0,P,,6,
USC00047950,19010522,PRCP,0,P,,6,
USC00047950,19010523,PRCP,0,P,,6,
USC00047950,19010524,PRCP,0,P,,6,
USC00047950,19010525,PRCP,61,,,6,
USC00047950,19010526,PRCP,0,P,,6,
USC00047950,19010527,PRCP,0,P,,6,
USC00047950,19010528,PRCP,0,P,,6,
USC00047950,19010529,PRCP,0,P,,6,
USC00047950,19010530,PRCP,0,P,,6,
USC00047950,19010531,PRCP,0,P,,6,
USC00047950,19010601,TMAX,167,,,6,
USC00047950,19010602,TMAX,172,,,6,
USC00047950,19010603,TMAX,178,,,6,
USC00047950,19010604,TMAX,167,,,6,
USC00047950,19010605,TMAX,183,,,6,
USC00047950,19010606,TMAX,178,,,6,
USC00047950,19010607,TMAX,178,,,6,
USC00047950,19010608,TMAX,161,,,6,
USC00047950,19010609,TMAX,161,,,6,
USC00047950,19010610,TMAX,194,,,6,
USC00047950,19010611,TMAX,183,,,6,
USC00047950,19010612,TMAX,200,,,6,
USC00047950,19010613,TMAX,183,,,6,
USC00047950,19010614,TMAX,183,,,6,
USC00047950,19010615,TMAX,189,,,6,
USC00047950,19010616,TMAX,200,,,6,
USC00047950,19010617,TMAX,194,,,6,
USC00047950,19010618,TMAX,189,,,6,
USC00047950,19010619,TMAX,189,,,6,
USC00047950,19010620,TMAX,189,,,6,
